"","name","RT","MW","m/z","class","origin","tic","exclude","code","sim"
"f1","Furan","2.35","68","39+68","f","C","1.1940583305","F","Furan",""
"f2","Methylfuran","2.74","82","81+82","f","C","0.999770402","F","Methylfuran",""
"f3","Methylfuran","2.91","82","81+82","f","C","0","F","Methylfuran",""
"f4","Dimethylfuran","3.43","96","95+96","f","C","0","F","Dimethylfuran",""
"f5","Dimethylfuran","3.66","96","95+96","f","C","1.1","F","Dimethylfuran",""
"f6","Vinylfuran","5.01","94","65+94","f","C","2.5891238115","F","Vinylfuran",""
"f7","3-Furaldehyd","11.57","96","95+96","f","C","1.652828514","F","3-Furaldehyd",""
"f8","2(5H)Furanon","11.69","98","55+98","f","C","2.409331274","F","2(5H)Furanon",""
"f9","2-Furaldehyd","12.22","96","95+96","f","C","1.6737352185","F","2-Furaldehyd",""
"cp10","Acetylfuran","12.99","110","95+110","cp","C","2.378797135","F","Acetylfuran",""
"f11","5-Methyl-2-furancarboxaldehyde","14.23","110","109+110","f","C","2.440815327","F","5-Methyl-2-furancarboxaldehyde",""
"cp12","Butyrolactone","15.22","86","56+86","cp","C","12.373827545","F","Butyrolactone",""
"cp13","Furanmethanol","15.61","98","98","cp","C","5.206772312","F","Furanmethanol",""
"f14","5-Methyl-2(5H)-furanone","16.06","98","55+98","f","C","3.9163635165","F","5-Methyl-2(5H)-furanone",""
"f15","5-Hydroxymethylfuran1--carboxaldehyde","27.51","126","97+126","f","C","2.171627102","F","5-hydroxymethylfuran1--carboxaldehyde",""
"ar1","Toluene","4.54","92","91+92","ar","non","0","F","tol",""
"ar2","Xylene","5.94","106","91+105+106","ar","non","4.462227926","F","xyl1",""
"ar3","Xylene","6.09","106","91+105+106","ar","non","0","F","xyl2",""
"ar4","Xylene","6.2","106","91+105+106","ar","non","0","F","xyl3",""
"ar5","Methoxytoluene","11.78","122","121+122","ar","non","4.0364724957","F","tol1",""
"ar6","Benzaldehyde","13.35","106","77+106","ar","non","12.8768662682","F","benz1=O",""
"ph1","Phenol","21.02","94","65+66+94","ph","Ph","1.7178283107","F","Ph0",""
"ph2","4-Methylphenol","22.11","108","107+108","ph","Ph","1.7002710599","F","Ph1a",""
"ph3","3-Methylphenol","22.22","108","107+108","ph","Ph","1.3531491485","F","Ph1b",""
"ph4","Ethylphenol","23.38","122","107+122","ph","Ph","1.3566398935","F","Ph2",""
"ph5","Propenylphenol","26.93","134","133+134","ph","Ph","5.1335999795","F","Ph3:1a",""
"ph6","Propylphenol","31.11","136","151+166","ph","Ph","1.3874825599","F","Ph3",""
"ph7","Butylphenol?","31.86","150","107+150","ph","Ph","2.4176114171","F","Ph4",""
"ph8","Hydroquinone","33.4","110","81+110","ph","Ph","2.1434598319","F","Ph-OH",""
